Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
deep neural network;réseau de neurones profonds;"deep artificial neural network;deep NN;DNN";"réseau neuronal profond;réseau de neurones profond";A neural network with multiple hidden layers, which allows a more sophisticated build-up from simple elements to more complex ones. (Adapted from Wiley, R Deep Learning Essentials, 2016);Réseau neuronal comportant des millions de neurones, répartis en plusieurs dizaines de couches et utilisés en apprentissage profond pour l’apprentissage supervisé, l’apprentissage non supervisé et l’apprentissage par renforcement. (Data Franca);;;
definite article;article défini;;;;;;;
deflexivity;déflexivité;;;;;;;
degrammaticalization;dégrammaticalisation;degrammaticalisation;;;;;;
deictic;déictique;;;;;;;
deixis;déixis;;;;;;;
deletion transformation;transformation d'effacement;;;;;;;
DeLFT;DeLFT;Deep Learning Framework for Text;;An Open Source Keras framework for text processing, covering sequence labelling (e.g. named entity tagging) and text classification (e.g. comment classification). (Loterre);Framework Keras Open Source pour le traitement de textes, couvrant l'étiquetage de séquences (par exemple, l'étiquetage d'entités nommées) et la classification de textes (par exemple, la classification de commentaires). (Loterre);;;
demonstrative adjective;adjectif démonstratif;demonstrative determiner;déterminant démonstratif;;;;;
demonstrative pronoun;pronom démonstratif;;;;;;;
denoising autoencoder;autoencodeur débruiteur;DAE;DAE;;;;;
denomination;dénomination;;;;;;;
denotation;dénotation;;;;;;;
dental consonant;consonne dentale;dental;dentale;;;;;
deontic modality;modalité déontique;;;;;;;
dependency grammar;grammaire de dépendance;;;;;;;
dependency parsing;analyse en dépendances;"DP;dependency analysis";;A process of analyzing the grammatical structure of sentences, establishing relationships between words in the sentences, and labeling these relationships using grammatical dependencies. (Desagulier, Dependency parsing in R with UDPipe, on hypotheses.org, 2022);Tâche/processus consistant à identifier et à marquer la structure grammaticale d'une phrase en établissant des relations entre les mots têtes et les mots qui modifient ces têtes. (Loterre);;;
derivation;dérivation;morphological derivation;dérivation morphologique;;;;;
derivational analysis;analyse dérivationnelle;;;The analysis of a word in order to identify its derivation, i.e. whether and how it has been formed on the basis of another word (e.g. through the use of affixes) (Loterre);Analyse d'un mot afin d'identifier sa dérivation, c'est-à -dire s'il a été formé sur la base d'un autre mot (par exemple par l'utilisation d'affixes) et comment. (Loterre);;;
derived adjective;adjectif dérivé;;;;;;;
derived adverb;adverbe dérivé;;;;;;;
derived substantive;substantif dérivé;derived noun;nom dérivé;;;;;
derived verb;verbe dérivé;;;;;;;
derived word;mot dérivé;;;;;;;
descriptor;descripteur;;;;;;;
desiderative;désidératif;;;;;;;
determiner;déterminant;;;;;;;
deverbal;déverbal;;;;;;;
devoicing;dévoisement;desonorization;;;;;;
diacritic mark;signe diacritique;;;;;;;
dialect levelling;nivellement des dialectes;;;;;;;
dialectal differentiation;différenciation dialectale;;;Process by which two closely related linguistic varieties diverge from one another during their evolution. (Wikidata);Processus par lequel deux variétés linguistiques étroitement apparentées divergent l'une de l'autre au cours de leur évolution. (Wikidata);;;
dialectology;dialectologie;;;;;;;
dialectometry;dialectométrie;;;;;;;
dialogism;dialogisme;;;;;;;
dialogue act;acte de dialogue;;AD;;;;;
dialogue context;contexte de dialogue;dialog context;contexte de conversation;System information and user information, which provides the user target and topic information of the current dialogue. (Yang et al., Multiturn dialogue generation by modeling sentence-level and discourse-level contexts, in Scientific Reports, 2022);Informations sur l'ensemble des échanges verbaux et l'intention des participants d'une conversation, employées pour construire des interfaces homme-machine et des agents conversationnels.;;;
dialogue history;historique de dialogue;dialog history;historique de conversation;The storage of dialogue in the current state with information and entities before the current state, which promotes conceptual coherence. (Based on Magara, A Branchless banking multi-agent system to facilitate online-offline capabilities with consideration to the fourth industrial revolution (thesis), 2021);Ensemble des interactions verbales qui ont eu lieu entre les participants à une conversation de son début au moment actuel, utilisé dans la conception et l'évaluation de systèmes de dialogue ou d'agents conversationnels.;;;
dialogue management;gestion du dialogue;;;;;;;
dialogue model;modèle de dialogue;dialog model;"modèle de conversation;modèle de dialogue homme-machine";An abstract model that is used to describe the structure of the dialogue between a user and an interactive computer system. (Green, A Survey of Three Dialogue Models, 1986);Modèle théorique utilisé dans la conception de systèmes de dialogue pour analyser et représenter la structure d'une conversation entre des participants humains ou des machines.;;;
dialogue state tracking;suivi des états de dialogue;dialog state tracking;;A task in task-oriented dialogue systems, which involves tracking of user’s goal and slot values based on dialogue context to accurately represent the current status or context of the conversation in order to facilitate more effective dialogue management and response generation. (Based on Maheshwari and Nangi, Pre-training and Data Augmentation for Dialogue State Tracking);Processus par lequel un système informatique maintient une représentation mise à jour de l'état courant d'une conversation entre un être humain et une machine, souvent dans le contexte d'un système de dialogue pour adapter les réponses générées en fonction de l'état actuel de l'interaction.;;;
dialogue-based machine translation;traduction automatique fondée sur le dialogue;DBMT;TAFD;Type of machine translation that involves the use of machine translation technology to support communication between people who do not speak the same language. The system typically operates in a conversational setting, where users can interact with the machine translation system using natural language input.;Type de traduction automatique qui permet à un auteur monolingue de produire des traductions de qualité des documents qu’il rédige grâce à un dialogue entre la machine et l'auteur qui résoud des ambiguïtés que la machine n’est pas capable de résoudre automatiquement. (https://lorexplor.istex.fr/Wicri/Ticri/CIDE/doc/actes/Actes-Cide7.pdf);;;
diarization;diarisation;diarisation;;;Segmentation d'un enregistrement de parole en fonction du nombre de locuteurs et de leur identité.;;;
diathesis;diathèse;grammatical voice;;;;;;
dictionary;dictionnaire;;;;;;;
digital signal processor;processeur de signal numérique;DSP;DSP;;;;;
diglossia;diglossie;;;;;;;
dimensionality reduction;réduction de la dimensionnalité;;;;;;;
diminutive;diminutif;;;;;;;
diphthong;diphtongue;gliding vowel;;;;;;
diphthongization;diphtongaison;"diphthongisation;vowel breaking2";fracture vocalique;;;;;
direct machine translation;traduction automatique directe;;;Word-by-word translation approach with simple grammatical adjustments, designed for a specific source and target language pair and the translation unit of which is usually a word. (wikipedia.org);Approche de traduction automatique basée sur un dictionnaire qui fait correspondre chaque mot de la langue source à son équivalent dans la langue cible. (https://archive-ouverte.unige.ch//unige:155797);;;
direct object;objet direct;;;;;;;
direct speech;discours direct;quoted speech;;;;;;
directional;directionnel;;;;;;;
DISCO Builder;DISCO builder;extracting DIstributionally related words using CO-occurrences;;A Java application that allows to retrieve the semantic similarity between arbitrary words and phrases. The similarities are based on the statistical analysis of very large text collections. (Loterre);Application Java qui permet d'extraire la similarité sémantique entre des mots et des phrases arbitraires. Les similarités sont basées sur l'analyse statistique de très grandes collections de textes. (Loterre);;;
discourse marker;marqueur discursif;;"marqueur de discours;marqueur du discours;marqueur pragmatique";;;;;
discourse relation;relation de discours;;;;;;;
discourse representation theory;théorie des représentations discursives;;;;;;;
discourse strategy;stratégie discursive;;;;;;;
discourse structure;structure discursive;;structure du discours;;;;;
discourse theme;thème discursif;;;;;;;
disfluencie;disfluence;;;;;;;
dislocation;dislocation;;;;;;;
dissimilation;dissimilation;;;;;;;
distributional analysis;analyse distributionnelle;;;;;;;
distributive;distributif;;;;;;;
DKPro Core;DKPro Core;;;;;;;
doc2vec;doc2vec;;;An algorithm to convert documents to vectors. (Loterre);Algorithme pour convertir des documents en vecteurs. (Loterre);;;
domain adaptation;adaptation au domaine;;;;;;;
double articulation;double articulation;;;;;;;
double negation;double négation;;;;;;;
downstream task;tâche en aval;;;In the context of self-supervised learning, a task that uses the features learned through the self-supervised learning process as input, which can be any type of machine learning task that requires visual features, such as object detection, image classication, or segmentation. (Based on Attias, Vision Transformers for Analyzing High-Resolution Pathology Images (thesis), 2023);Tâche qui utilise les sorties d'un modèle d'apprentissage auto-supervisé comme entrées pour répondre à des besoins spécifiques, par exemple dans la classification d'images.;;;
DPPS;processus ponctuel déterminantal;;PPD;;;;;
dual space;espace dual;dual vector space;crochet de dualité;;;;;
dual;duel;;dual;;;;;
dynamic programming;programmation dynamique;dynamic optimization;;"An optimization approach that transforms a complex problem into a sequence of simpler problems; its essential characteristic is the multistage nature of the optimization procedure. (Massachusetts Institute of Technology, Dynamic Programming);An important class of algorithms widely used in many areas of speech and language processing. (Huang, Dynamic Programming-based Search Algorithms in NLP, 2009)";Méthode algorithmique pour résoudre des problèmes d'optimisation qui consiste à les décomposer en sous-problèmes, puis à résoudre les sous-problèmes, des plus petits aux plus grands en stockant les résultats intermédiaires. (Data Franca);;;
eaQHM;eaQHM;extended adaptive Quasi-Harmonic Model;;;;;;
EARL;EARL;Entity And RELation mapping;;Joint entity and relation linking for knowledge graphs. (Loterre);Résolution référentielle conjointe d'entités et de relations pour les graphes de connaissances. (Loterre);;;
early stopping;arrêt précoce;;;A method for regularization that involves ending training before training loss finishes decreasing. (Google for Developers, Machine Learning Glossary);Méthode de régularisation qui implique d'interrompre l'entraînement d'un modèle d'apprentissage lorsque la perte d'un ensemble de données de validation commence à augmenter et que les performances de généralisation se dégradent. (Data Franca);;;
echo question;question écho;;;;;;;
Egas;Egas;;;A collaborative software for biomedical text annotation. (Loterre);Logiciel collaboratif pour l'annotation de textes biomédicaux. (Loterre);;;
ELECTRA;ELECTRA;Efficiently Learning an Encoder that Classifies Token Replacements Accurately;;Pre-trained language model by replacing some tokens with plausible alternatives sampled from a small generator network. (Clark et al., 2020);Modèle de langue pré-entraîné « en remplaçant certains tokens par des alternatives plausibles échantillonnées à partir d'un petit réseau generateur.» (Clark et al., 2020);;;
electroglottography;électroglottographie;;;;;;;
electromagnetic articulography;articulographie électromagnétique;;;;;;;
electronic dictionary;dictionnaire électronique;;dictionnaire numérique;Any reference material stored in electronic formsthat gives information about the spelling, meaning, or use of words. (Adapted from Nisa, Comparing the use of electronic dictionary and printed dictionary and their effects on writing skill (thesis), 2022);;;;
elicitation;élicitation;;parole élicitée;;;;;
elision;élision;deletion;;;;;;
ellipsis;ellipse;;;;;;;
ELMo;ELMo;;;Type of deep contextualized word representation that models both (1) complex characteristics of word use (e.g., syntax and semantics), and (2) how these uses vary across linguistic contexts (i.e., to model polysemy). (Peters et al., 2018).;Type de représentation profonde et contextualisée des mots qui modélise à la fois (1) les caractéristiques complexes de l'utilisation des mots (par exemple, la syntaxe et la sémantique), et (2) la façon dont ces utilisations varient selon les contextes linguistiques (c'est-à -dire, pour modéliser la polysémie). (Peters et al., 2018);;;
elocution;élocution;;;;;;;
embedding dimension;dimension de plongement;embedding size;"taille de plongement;taille d'embedding;dimension d'embedding";The number of dimensions in a space where each token in the vocabulary is represented by a real valued vector in a language model. (Based on de Rijk, Classifying Legally Actionable Threats Using Language Models (thesis), 2022);Taille de l'espace vectoriel dans lequel les tokens sont représentés sous forme de vecteurs dans un modèle de langue.;;;
embedding layer;couche de plongement;;couche d'embedding;A special hidden layer placed at the beginning of a neural network to convert words or tokens into word embeddings.;Couche d'un réseau neuronal placée comme première couche pour initialiser les représentations des tokens en entrée avant qu'elles ne soient propagées à travers le reste du réseau.;;;
embedding matrix;matrice de plongement;;matrice d'embedding;In the context of word embedding techniques, a table that maps each word in a vocabulary to its corresponding dense vector representation, enabling machine learning models to effectively process and understand natural language text.;Matrice qui associe des tokens à leurs représentations vectorielles en entrée d'un modèle d'apprentissage automatique.;;;
embedding space;espace de plongement;;espace de représentation;;;;;
embedding;plongement;imbedding;embedding;;;;;
emotion detection;détection d'émotions;;;The process/task of identifying types of feelings (e.g. anger, fear, happiness, sadness, etc.) in the linguistic expression of texts or facial expressions. (Loterre);Processus/tâche consistant à identifier les types de sentiments (par exemple, la colère, la peur, la joie, la tristesse, etc.) dans l'expression linguistique des textes ou des expressions faciales. (Loterre);;;
emphasis;emphase;;;;;;;
enclisis;enclise;;;;;;;
enclitic;enclitique;;;;;;;
encoder-decoder model;modèle encodeur-décodeur;"seq2seq model;sequence-to-sequence model";"modèle seq2seq;modèle séquence-à-séquence";;;;;
ending;terminaison;;;;;;;
end-to-end neural MT system;système neuronal de bout en bout;;;;;;;
Enju;Enju;;;An accurate natural language parser for English. (Loterre);Analyseur syntaxique précis pour l'anglais. (Loterre);;;
entity embedding;plongement d'entités;;;Vector representations of texts at the level of their constitutive entities. (Loterre);Représentations vectorielles de textes au niveau des entités qui le constituent. (Loterre);;;
entity linking;désambiguïsation d'entités nommées;;;The task of linking the surface form of an entity in a text to its unique identifier in an external resource. (Loterre);Tâche consistant à relier la forme de surface d'une entité dans un texte à son identifiant unique dans une ressource externe. (Loterre);;;
enumeration;énumération;;;;;;;
epenthesis;épenthèse;;;;;;;
epicene;épicène;;;;;;;
epistemic modality;modalité épistémique;;;;;;;
epithet;épithète;byname;;;;;;
ergative;ergatif;;;;;;;
ERNIE;ERNIE;;;A pre-trained language model on large-scale textual corpora and knowledge graphs. (Loterre);Modèle de langue pré-entraîné sur des corpus textuels volumineux et sur des graphes de connaissances. (Loterre);;;
error correction;correction d'erreur;;;;;;;
ethnolinguistics;ethnolinguistique;;;;;;;
ethnonym;ethnonyme;;;;;;;
ethnonymy;ethnonymie;;;;;;;
etymological dictionary;dictionnaire étymologique;etymology dictionary;;;;;;
etymology;étymologie;;;;;;;
euphemism;euphémisme;;;;;;;
event extraction;extraction d'événements;;;A task that aims at extracting event information, that is to say a specific occurrence of something that happens in a certain time and a certain place involving one or more participants, from unstructured plain texts into a structured form. (Adapted from Li et al., A Survey on Deep Learning Event Extraction: Approaches and Applications, 2022);;;;
evidence sentence;phrase-témoin;;;A sentence or a piece of text within a document or corpus that provides support or evidence for a particular claim, hypothesis, or assertion, and plays an important role in tasks such as information extraction, question answering, summarization, and argumentation mining.;Phrase d'un document ou un corpus qui témoigne d'une hypothèse ou d'une affirmation spécifique et joue un rôle important dans des tâches telles que l'extraction d'informations ou le résumé automatique.;;;
evidential;médiatif;;;;;;;
example-based machine translation;traduction automatique à base d'exemples;EBMT;;Machine translation approach which retrieves similar examples (pairs of source phrases, sentences, or texts and their translations) from a database of examples, adapting the examples to translate a new input. (https://dl.acm.org/doi/10.3115/981344.981368);Approche de traduction automatique qui recherche dans un corpus bilingue des portions de texte similaires au texte à traduire à partir desquelles une traduction est générée. (Rudy Loock, La traductologie de corpus);;;
exclamatory sentence;phrase exclamative;;;;;;;
exolingual communication;communication exolingue;;;;Communication qui s'établit entre individus ne disposant pas d'une L1 commune (Porquier, Communication exolingue et apprentissage des langues », Acquisition d'une langue étrangère III, 1984);;;
expectation–maximization algorithm;algorithme d'espérance-maximisation;"EM algorithm;expectation maximization";"algorithme EM;algorithme esperance-maximisation;algorithme espérance-maximisation;expectation-maximization";An iterative method to find (local) maximum likelihood or maximum a posteriori (MAP) estimates of parameters in statistical models, where the model depends on unobserved latent variables. (Wikipedia).;Méthode itérative pour trouver des estimations (locales) de maximum de vraisemblance ou de maximum a posteriori (MAP) de paramètres dans des modèles statistiques, où le modèle dépend de variables latentes non observées. (Wikipédia);;;
experiencer;expérienciateur;;;;;;;
expressiveness;expressivité;expressivity;;;;;;
extended standard theory;théorie standard étendue;;;;;;;
extraction of domain-specific information;extraction d'informations spécifiques au domaine;;;Extraction of information that pertains to specific domains/disciplines, it can be used combined with Annotation type to specify the type of information extracted. (Loterre);Extraction d'informations relatives à des domaines/disciplines spécifiques, peut être utilisé en combinaison avec Type d'annotation pour spécifier le type d'informations extraites. (Loterre);;;
extractive summarization;résumé par extraction;;;A process which aims at identifying the salient information that is then extracted and grouped together to form a concise summary. (Based on NithyaKalyani and Jothilakshmi, Speech Summarization for Tamil Language, in Intelligent Speech Signal Processing, 2019);Résumé automatique d'un texte par extraction des informations importantes ou des idées du document suivie de la génération du texte du résumé.;;;
extrametricality;extramétricité;;;;;;;
extraposition;extraposition;;;;;;;
factitive;factitif;;;;;;;
factored machine translation;traduction automatique factorisée;factored MT;TA factorisée;A machine translation approach that incorporates additional linguistic information, known as factors, into the translation process, such as part-of-speech tags, syntactic structure, or semantic information.;Approche de traduction automatique qui utilise des encastrements multiples, appelés facteurs, pour représenter les mots dans le processus de traduction. Contrairement à une représentation numérique unique pour chaque mot, les facteurs permettent de prendre en compte des informations supplémentaires telles que la capitalisation.;;;
Falcon;Falcon;;;An entity and relation linking tool over Wikidata (https://github.com/SDM-TIB/Falcon2.0).;Outil de résolution référentielle d'entités et de relations sur Wikidata. (source : https://github.com/SDM-TIB/Falcon2.0);;;
false friend;faux ami;;;;;;;
false negative rate;taux de faux négatifs;;FNR;The proportion of positives which yield negative test outcomes with the test, i.e., the conditional probability of a negative test result given that the condition being looked for is present. (Wikipedia);Donnée qui indique la proportion de détection manquée des éléments connus répondant aux critères de détection. (Data Franca);;;
false positive rate;taux de faux positifs;;FPR;Chance of wrongly rejecting the null hypothesis. (Wikidata);Donnée qui rend compte de la proportion de rejet incorrect d'une véritable hypothèse nulle. (Data Franca);;;
FARM;FARM;;;A Python library for transfer learning in NLP. (Loterre);Librarie Python d'apprentissage par transfert de tâches en traitement automatique du langage. (Loterre);;;
FasTag;FasTag;;;A text classification document for the rapid triaging of clinical documents. (https://github.com/rivas-lab/FasTag).;Outil de classification de textes cliniques. (Loterre);;;
fastText algorithm;algorithme fastText;;;An algorithm for word embeddings and text classification. (Loterre);Algorithme pour le plongement lexical et la classification de textes. (Loterre);;;
fastText;fastText;;;Library for efficient text classification and representation learning. (Loterre);Librairie pour la classification efficace des textes et l'apprentissage de représentations. (Loterre);;;
feature extractor;extracteur de caractéristiques;;;A piece of code responsible for transforming unstructured data into a numerical representation that can be utilized by machine learning algorithms.;Composant ou algorithme utilisé pour convertir des données textuelles brutes en représentations numériques pouvant être exploitées par des systèmes d'apprentissage automatique.;;;
feature geometry;géometrie des traits;;;;;;;
feature selection;sélection d'attributs;;"sélection de variables;sélection de caractéristiques";;Méthode de réduction de la dimensionnalité utilisée en apprentissage automatique et en traitement de données qui consiste à trouver dans un espace de grande dimension un sous-ensemble de variables pertinentes afin de simplifier les modèles, réduire la durée de l'apprentissage et améliorer la généralisation en réduisant les surajustements. (D'après Data Franca);;;
feature structure;structure de traits;;;;;;;
feedback;rétroaction;;;;;;;
feed-forward neural network;réseau de neurones à propagation avant;"feed forward neural network;feedforward neural network;forward propagation neural network;forward propagation network;FFNN";"réseau à propagation avant;réseau à propagation vers l'avant;FFNN";Neural network where information is fed from the input layer to the output layer in one direction only. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Réseau de neurones artificiels dans lequel les signaux ne peuvent se propager que dans un seul sens, d'une couche d'entrée vers une couche de sortie, sans possibilité de retour en arrière. (Office québécois de la langue française);;On oppose les réseaux de neurones à propagation avant aux réseaux de neurones récurrents, dans lesquels les signaux peuvent revenir en arrière et alimenter des neurones d'une couche précédente ou de la même couche. Les perceptrons multicouches sont des réseaux de neurones à propagation avant. (Office québécois de la langue française);
feminine;féminin;feminine gender;;;;;;
few-shot learning;apprentissage avec peu d'exemples;;;The problem of learning the underlying pattern in the data just from a few training samples. (Archit Parnami, Minwoo Lee, Learning from Few Examples: A Summary of Approaches to Few-Shot Learning, 2022);Méthode d'apprentissage qui apprend une nouvelle tâche à partir d'un petit nombre d'exemples ou données d'apprentissage. (Data Franca);;;
field-programmable gate array;réseau de portes programmables sur site;FPGA;FPGA;An integrated circuit that can be programmed to implement specific functions, with characteristics such as parallel computing capabilities, low power consumption and low latency. FPGAs have been widely employed to accelerate the inference of convolutional neural networks and show potential in Transformer-based models. (Liu et al., An Efficient FPGA-Based Accelerator for Swin Transformer, 2023);Matrice de blocs logiques programmables de la famille réseaux logiques programmables;;;
figurative sense;sens figuré;;;;;;;
final syllable;syllabe finale;;;;;;;
fine-tuning;affinage;fine tuning;"ajustement fin;fine tuning;fine-tuning";Approach to transfer learning in which the weights of a pre-trained model are trained on new data. (https://d2l.ai/chapter_computer-vision/fine-tuning.html);Processus d'apprentissage par transfert pour la mise au point d'un modèle avec de nouvelles données en partant d'un modèle préentraîné. (Data Franca);;;
finite state automata;automate à états finis;;;;;;;
first person;première personne;;;;;;;
Flair;Flair;;;A very simple framework for state-of-the-art Natural Language Processing. (https://github.com/flairNLP/flair);Environnement Python pour le traitement automatique du langage naturel. (Loterre);;;
floating tone;ton flottant;;;;;;;
f-measure;f-mesure;f-score;f-score;An indicator combining precision and recall which is used to evaluate classification algorithms. ;Mesure de la performance d'un modèle de classification en intelligence artificielle qui combine les mesures de précision et rappel, elles-mêmes basées sur les taux de vrais positifs, faux positifs et faux négatifs. (Wikipédia);;;
focus accent;accent d'insistance;;;;;;;
formal address;vouvoiement;;;;;;;
formal grammar;grammaire formelle;;;;;;;
formal language theory;théorie des langages formels;;;A field that studies the internal structural patterns of languages.;Discipline théorique qui étudie la structure interne formelle des langages.;;;
forward error correction;correction directe d'erreur;;;;;;;
foundation model;modèle de fondation;base model;;A machine learning model trained on a vast amount of data so that it can easily be adapted for a wide range of general tasks, including being able to generate outputs. (Adapted from UK Parliament's Artificial intelligence (AI) glossary, 2024, online);;;;
framework;cadre;;;An artificial intelligence data structure used to divide knowledge into substructures by representing \stereotyped situations\. (Wikipedia);Structures de données utilisées en intelligence artificielle symbolique pour diviser les connaissances en sous-structures en tenant compte de situations stéréotypées. (Data Franca);;;
franc;franc;;;An R package for language identification. (Loterre);Paquet R pour l'identification de la langue. (Loterre);;;
free indirect speech;discours indirect libre;;;;;;;
FreeLing;FreeLing;;;An open-source suite of language analyzers. (Loterre);Suite d'analyseurs de langues dont le code source est libre. (Loterre);;;
French-speaking communities;francophonie;;;;;;;
fricative consonant;consonne fricative;fricative;fricative;;;;;
fricativization;fricativisation;;;;;;;
front vowel;voyelle antérieure;;;;;;;
fronting;déplacement vers l'avant;;;;;;;
frozenness;figement;;;;;;;
full post-editing;post-édition complète;;post-édition approfondie;Attempt to convert raw machine translation into a product indistinguishable from human translation. (https://aclanthology.org/www.mt-archive.info/T&T-1985-Wagner.pdf);Tâche de post-édition qui consiste à modifier la sortie de traduction automatique pour atteindre une qualité comparable à celle des textes traduits par des humains. (https://www.unige.ch/fti/fr/faculte/departements/dtim/recherches/ta/);;;
full verb;verbe plein;;;;;;;
fully automatic high quality translation;traduction entièrement automatique de haute qualité;FAHQT;TEAHQ;Machine translation system which produces accurate and fluent translations without the need for any human intervention.;Traduction produite par un logiciel de traduction automatique qui est très satisfaisante, c'est-à-dire qui nécessite très peu de corrections. (http://olst.ling.umontreal.ca/lhomme/download/traductique.pdf);;;
functional verb;verbe fonctionnel;;;;;;;
fundamental frequency;fréquence fondamentale;;;;;;;
future;futur;future tense;"futur simple;futur synthétique";;;;;
fuzzy match;correspondance partielle;;;A source phrase which partially matches a reference translation or a translation memory entry.;Segment source d'un document à traduire similaire à une entrée existante dans une mémoire de traduction.;;;
FuzzyTM;FuzzyTM;;;A Python library to train Fuzzy Latent Semantic Analysis-based topic models. (Loterre);Librairie Python pour entraîner des modèles de topiques basés sur l'analyse sémantique latente floue. (Loterre);;;
gapping;gapping;;;;;;;
Gargantext;GarganText;;;A collaborative web platform for the exploration of sets of unstructured documents. It combines tools from natural language processing, text-mining, complex networks analysis and interactive data visualization to pave the way toward new kinds of interactions with digital corpora. (Loterre);Logiciel libre pour l'exploration interactive de grands corpus numériques. Ce service web combine l'exploration de textes avancée, l'analyse de réseau et la visualisation interactive pour fournir de nouvelles formes d'interactions avec les corpus. (Loterre);;;
GATE;GATE;General Architecture for Text Engineering;;A suite of tools written in Java, used for human language processing, analysis, and information extraction. (Loterre);Suite d'outils en Java, utilisés pour le traitement du langage, l'analyse et l'extraction d'informations. (Loterre);;;
gated recurrent unit;unité récurrente fermée;GRU;GRU;A type of RNN and variation of LSTMs that performs sequence-to-sequence learning by considering the previous state and the current input word. (Adapted from Jha et al., Towards automated check-worthy sentence detection using Gated\nRecurrent Unit, 2023);En intelligence artificielle, un modèle GRU est un modèle particulier de réseau de neurones récurrent. Un modèle GRU comporte moins de paramètres qu'un modèle LSTM.;;;
gaussian mixture model;modèle de mélange gaussien;GMM;"mélange gaussien;MMG9";;;;;
Gaussian process classifier;classifieur à processus gaussien;;;A nonparametric, probabilistic classifier that directly models the posterior probability of class membership. (Loterre);Classifieur probabiliste non paramétrique. (Loterre);;;
gazetteer based matching;alignement basé sur un gazetteer;;alignement par index géographiques;The task/process of performing a comparison between a text/dataset and a gazetteer and identifying in the text/dataset units that are included in the gazetteer. (Loterre);Tâche/processus consistant à effectuer une comparaison entre un texte/ensemble de données et un \gazetteer\ et à identifier dans le texte/ensemble de données des unités qui sont incluses dans le \gazetteer\. (Loterre);;;
geminate;géminée;;;;;;;
gemination;gémination;consonant elongation;;;;;;
general grammar;grammaire générale;;;;;;;
generalization ability;capacité de généralisation;;;A measure of how accurately the algorithm is able to predict outputs from previously unknown data. (Qi et al., Applying Neural-Network-Based Machine Learning to Additive Manufacturing: Current Applications, Challenges, and Future Perspectives, in Engineering, 2019);Mesure de la capacité d'un modèle à appliquer de manière fiable les connaissances acquises à partir des données d'entraînement à des données qu'il n'a pas rencontrées pendant l'entrainement.;Generalization ability can be evaluated using the bias and variance measurements. (Zaras et al., Neural networks and backpropagation, in Deep Learning for Robot Perception and Cognition, 2022)##A model that can generalize is the opposite of a model that is overfitting. (Google for Developers - Machine Learning Glossary);;
generalized phrase structure grammar;grammaire syntagmatique généralisée;GPSG;;;;;;
generalized quantifier;quantificateur généralisé;;;;;;;
generative adversarial network;réseau antagoniste génératif;GAN;GAN;Framework for estimating generative models via an adversarial process, in which we simultaneously train two models: a generative model G that captures the data distribution, and a discriminative model D that estimates the probability that a sample came from the training data rather than G. (Goodfellow et al., 2014, p. 1).;Cadre pour estimer des modèles génératifs via un processus antagoniste, dans lequel nous entraînons simultanément deux modèles : un modèle génératif G qui capture la distribution des données, et un modèle discriminant D qui estime la probabilité qu'un échantillon provienne des données d'entraînement plutôt que de G. (Goodfellow et al., 2014, p. 1);;;
generative grammar;grammaire générative;;;;;;;
generative model;modèle génératif;;;A machine learning model used to sample data based on the probability distribution and to generate expanded datasets by learning existing data structures. (Adapted from Kang et al., Generative knowledge-based transfer learning for few-shot health condition estimation, 2022);Modèle d'apprentissage automatique qui permet à la fois de générer de nouveaux exemples à partir des données d'entraînement et d'évaluer la probabilité qu'un nouvel exemple provienne ou ait été généré à partir des données d'entraînement. (Data Franca);;;
Genia tagger;Genia tagger;;;Part-of-speech tagging, shallow parsing, and named entity recognition for biomedical text. (Loterre);Étiquetage des parties du discours, analyse syntaxique superficielle et reconnaissance des entités nommées pour les textes biomédicaux. (Loterre);;;
genitive;génitif;;cas génitif;;;;;
Gensim;Gensim;;;A Python library for topic modelling. (Loterre);Bilbliothèque Python pour la modélisation de topiques. (Loterre);;;
gerund;gérondif;;;;;;;
gestural communication;communication gestuelle;;;;;;;
GibbsLDA++;GibbsLDA++;;;A C/C++ implementation of Latent Dirichlet Allocation (LDA) using Gibbs Sampling technique for parameter estimation and inference. It is very fast and is designed to analyze hidden/latent topic structures of large-scale datasets including large collections of text/Web documents. (Loterre);Implémentation en C/C++ de l'allocation de Dirichlet latente utilisant l'échantillonnage de Gibbs pour l'estimation de paramètres et les inférences. Rapide, l'outil est conçu pour analyser les structures thématiques cachées/latentes de jeux de données importants, incluant de larges collections de documents textuels et du web. (Loterre);;;
glide;glide;;"semi-consonne;semi-voyelle9";;;;;
glossematics;glossématique;;;;;;;
glossonymy;glottonymie;;;;;;;
glottal consonant;consonne glottale;glottal;consonne laryngale;;;;;
glottal stop;coup de glotte;;;;;;;
GLoVe;GLoVe;;;An unsupervised learning algorithm for obtaining vector representations for words. (Loterre);Algorithme d'apprentissage non supervisé pour obtenir des représentations vectorielles de mots. (Loterre);;;
Glozz;Glozz;;;Annotation platform. (Loterre);Plateforme d'annotation. (Loterre);;;
GLUE benchmark;benchmark GLUE;General Language Understanding Evaluation benchmark;repère GLUE;A collection of resources for training, evaluating, and analyzing natural language understanding systems. (gluebenchmark.com);Suite de tâches d'évaluation et d'entrainement pour les systèmes de compréhension de la langue naturelle.;;;
GluonNLP;GluonNLP;;;;;;;
